,f,i,cats,mr,c,smp,srd,best
0,Ackley,200,50,0.1,0.5,5,0.1,0.17770838409214962
1,Ackley,200,50,0.1,0.5,5,0.3,0.006566143347307207
2,Ackley,200,50,0.1,0.5,5,0.5,5.418207185137192e-07
3,Ackley,200,50,0.1,0.5,5,0.8,6.612488334667432e-13
4,Ackley,200,50,0.1,0.5,10,0.1,2.724004233379113
5,Ackley,200,50,0.1,0.5,10,0.3,0.03398641536455971
6,Ackley,200,50,0.1,0.5,10,0.5,5.683023629687867e-05
7,Ackley,200,50,0.1,0.5,10,0.8,4.192646230194441e-12
8,Ackley,200,50,0.1,0.5,20,0.1,2.580591383264658
9,Ackley,200,50,0.1,0.5,20,0.3,0.04459544569932605
10,Ackley,200,50,0.1,0.5,20,0.5,0.00017197913527811082
11,Ackley,200,50,0.1,0.5,20,0.8,2.5727697749999834e-08
12,Ackley,200,50,0.1,0.5,40,0.1,3.280222515012842
13,Ackley,200,50,0.1,0.5,40,0.3,0.017212201982375053
14,Ackley,200,50,0.1,0.5,40,0.5,0.001977001172836612
15,Ackley,200,50,0.1,0.5,40,0.8,4.969593181414211e-09
16,Ackley,200,50,0.1,1.0,5,0.1,2.7440532482151565
17,Ackley,200,50,0.1,1.0,5,0.3,0.001842944847954886
18,Ackley,200,50,0.1,1.0,5,0.5,6.342176114815246e-05
19,Ackley,200,50,0.1,1.0,5,0.8,4.398303943276005e-11
20,Ackley,200,50,0.1,1.0,10,0.1,1.991570956602502
21,Ackley,200,50,0.1,1.0,10,0.3,0.002773421119485864
22,Ackley,200,50,0.1,1.0,10,0.5,0.0001074806157217445
23,Ackley,200,50,0.1,1.0,10,0.8,8.539129403573043e-10
24,Ackley,200,50,0.1,1.0,20,0.1,3.6448822636159695
25,Ackley,200,50,0.1,1.0,20,0.3,0.06309299607506746
26,Ackley,200,50,0.1,1.0,20,0.5,0.0005809675420818117
27,Ackley,200,50,0.1,1.0,20,0.8,8.481696456286159e-08
28,Ackley,200,50,0.1,1.0,40,0.1,5.010601966587728
29,Ackley,200,50,0.1,1.0,40,0.3,0.05372325984270221
30,Ackley,200,50,0.1,1.0,40,0.5,8.441290900096377e-05
31,Ackley,200,50,0.1,1.0,40,0.8,7.581981709137153e-09
32,Ackley,200,50,0.1,1.5,5,0.1,4.144289199757747
33,Ackley,200,50,0.1,1.5,5,0.3,0.02577564911309027
34,Ackley,200,50,0.1,1.5,5,0.5,1.0932530404961227e-05
35,Ackley,200,50,0.1,1.5,5,0.8,8.994804900908093e-11
36,Ackley,200,50,0.1,1.5,10,0.1,2.842365925939746
37,Ackley,200,50,0.1,1.5,10,0.3,0.04957840658780244
38,Ackley,200,50,0.1,1.5,10,0.5,4.774113073979791e-05
39,Ackley,200,50,0.1,1.5,10,0.8,1.4462966380079934e-08
40,Ackley,200,50,0.1,1.5,20,0.1,0.5468267648240794
41,Ackley,200,50,0.1,1.5,20,0.3,0.09668161490185101
42,Ackley,200,50,0.1,1.5,20,0.5,0.0002918571181287355
43,Ackley,200,50,0.1,1.5,20,0.8,8.979863652669451e-08
44,Ackley,200,50,0.1,1.5,40,0.1,1.9709551286860258
45,Ackley,200,50,0.1,1.5,40,0.3,0.027766582949955154
